id,gsn,shardId,latency (ns),dataGenTime (ns),totalBytes,totalTime (ns)
533,30534,0,20252049,601,1000000,81296251770
534,30535,0,19631672,625,1000000,81296251770
535,30536,0,20264826,615,1000000,81296251770
536,30537,0,20083156,645,1000000,81296251770
537,30538,0,19495758,555,1000000,81296251770
538,30539,0,20360750,645,1000000,81296251770
539,30540,0,19750678,615,1000000,81296251770
540,30541,0,19984672,634,1000000,81296251770
541,30542,0,20209108,608,1000000,81296251770
542,30543,0,19817397,602,1000000,81296251770
543,30544,0,20002957,642,1000000,81296251770
544,30545,0,20132962,601,1000000,81296251770
545,30546,0,19899134,608,1000000,81296251770
546,30547,0,19859241,652,1000000,81296251770
547,30548,0,20176165,609,1000000,81296251770
548,30549,0,20120241,632,1000000,81296251770
549,30550,0,19927959,501,1000000,81296251770
550,30551,0,20091613,492,1000000,81296251770
551,30552,0,20177462,638,1000000,81296251770
552,30553,0,19583120,575,1000000,81296251770
553,30554,0,19991302,631,1000000,81296251770
554,30555,0,20103239,512,1000000,81296251770
555,30556,0,19969501,638,1000000,81296251770
556,30557,0,19933503,598,1000000,81296251770
557,30558,0,20203669,615,1000000,81296251770
558,30559,0,20444477,565,1000000,81296251770
559,30560,0,19557567,504,1000000,81296251770
560,30561,0,19769268,685,1000000,81296251770
561,30562,0,20073852,628,1000000,81296251770
562,30563,0,19954202,672,1000000,81296251770
563,30564,0,19919847,484,1000000,81296251770
564,30565,0,20243348,632,1000000,81296251770
565,30566,0,19730090,652,1000000,81296251770
566,30567,0,20241315,632,1000000,81296251770
567,30568,0,20193514,632,1000000,81296251770
568,30569,0,19573030,631,1000000,81296251770
569,30570,0,20422994,635,1000000,81296251770
570,30571,0,20127178,624,1000000,81296251770
571,30572,0,19459139,588,1000000,81296251770
572,30573,0,20635922,601,1000000,81296251770
573,30574,0,19391425,668,1000000,81296251770
574,30575,0,20107409,598,1000000,81296251770
575,30576,0,20134043,612,1000000,81296251770
576,30577,0,20211419,571,1000000,81296251770
577,30578,0,19822801,652,1000000,81296251770
578,30579,0,19814601,608,1000000,81296251770
579,30580,0,19930656,584,1000000,81296251770
580,30581,0,20114765,591,1000000,81296251770
581,30582,0,20226240,629,1000000,81296251770
582,30583,0,20240594,585,1000000,81296251770
583,30584,0,19449581,681,1000000,81296251770
584,30585,0,19941374,571,1000000,81296251770
585,30586,0,20302974,628,1000000,81296251770
586,30587,0,20060690,588,1000000,81296251770
587,30588,0,19905363,665,1000000,81296251770
588,30589,0,19880613,598,1000000,81296251770
589,30590,0,20426284,578,1000000,81296251770
590,30591,0,19409721,578,1000000,81296251770
591,30592,0,20195831,615,1000000,81296251770
592,30593,0,19982049,555,1000000,81296251770
593,30594,0,20110694,628,1000000,81296251770
594,30595,0,19712677,658,1000000,81296251770
595,30596,0,20431854,608,1000000,81296251770
596,30597,0,19634564,605,1000000,81296251770
597,30598,0,20452050,615,1000000,81296251770
598,30599,0,19336827,631,1000000,81296251770
599,30600,0,20341378,604,1000000,81296251770
600,30601,0,20264956,588,1000000,81296251770
601,30602,0,20053638,588,1000000,81296251770
602,30603,0,19543470,665,1000000,81296251770
603,30604,0,20154172,495,1000000,81296251770
604,30605,0,20032681,608,1000000,81296251770
605,30606,0,20040699,635,1000000,81296251770
606,30607,0,20057406,638,1000000,81296251770
607,30608,0,20056564,702,1000000,81296251770
608,30609,0,19377522,618,1000000,81296251770
